Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.982491207888539	-73.8275524481674	0.0213	0.0379	0.0172	0.0182	0.0064	0.005	0.0014	0.0018	agua
4.982489766292485	-73.82674403406251	0.0217	0.0383	0.0174	0.0186	0.0074	0.0047	0.0013	0.0018	agua
4.981685208008944	-73.82836229250036	0.0215	0.0382	0.0172	0.0185	0.0061	0.0049	0.0016	0.0011	agua
4.981683767640582	-73.82755387914486	0.0214	0.0388	0.0174	0.0188	0.007	0.0051	0.0015	0.0012	agua
4.981682326279283	-73.8267454660261	0.0218	0.039	0.0175	0.0197	0.0073	0.0051	0.0013	0.0019	agua
4.981680883925043	-73.82593705314426	0.0217	0.0391	0.0177	0.0193	0.0072	0.0054	0.0012	0.0016	agua
4.981679440577869	-73.8251286404995	0.0221	0.0408	0.0182	0.0206	0.0084	0.0062	0.0015	0.0018	agua
4.980877767506216	-73.82836372225704	0.0215	0.0406	0.018	0.0199	0.0074	0.0056	0.0015	0.002	agua
4.980876327372446	-73.82755530988749	0.0219	0.0412	0.0181	0.0204	0.0074	0.0054	0.0014	0.002	agua
4.980874886245897	-73.8267468977547	0.0219	0.0407	0.018	0.02	0.0082	0.0053	0.0015	0.0018	agua
4.9808734441265745	-73.82593848585881	0.0217	0.0406	0.0179	0.0201	0.0077	0.0066	0.0017	0.0018	agua
4.980872001014475	-73.8251300742	0.0226	0.0422	0.0182	0.0209	0.0088	0.0064	0.0019	0.0017	agua
4.980870556909605	-73.82432166277843	0.0224	0.0418	0.0184	0.0207	0.0091	0.0074	0.0018	0.002	agua
4.980071765889875	-73.82917356339938	0.0218	0.0409	0.0178	0.0208	0.0072	0.0048	0.0015	0.0016	agua
4.980070326983313	-73.82836515177904	0.0218	0.0411	0.018	0.0206	0.0077	0.0052	0.0014	0.0016	agua
4.980068887084132	-73.8275567403953	0.0218	0.0416	0.0183	0.0209	0.0078	0.0059	0.0014	0.0025	agua
4.980067446192337	-73.8267483292483	0.022	0.041	0.0181	0.0203	0.0079	0.0068	0.0016	0.0016	agua
4.980066004307927	-73.82593991833822	0.0219	0.0412	0.0181	0.0205	0.0078	0.0057	0.0018	0.0018	agua
4.980064561430904	-73.82513150766522	0.0222	0.0416	0.018	0.0211	0.009	0.0067	0.0018	0.0018	agua
4.98006311756127	-73.82432309722942	0.0193	0.0347	0.0154	0.017	0.0078	0.0069	0.0017	0.0019	agua
4.980061672699026	-73.82351468703106	0.0215	0.0402	0.0173	0.0189	0.0069	0.0062	0.0014	0.0016	agua
4.980060226844175	-73.82270627707024	0.0221	0.041	0.0175	0.0187	0.0067	0.0049	0.0011	0.0016	agua
4.979265762792045	-73.82998340257221	0.0221	0.0413	0.0181	0.0208	0.007	0.005	0.0011	0.0015	agua
4.979264325112368	-73.8291749917011	0.0223	0.0423	0.0184	0.0209	0.0071	0.0052	0.0015	0.0021	agua
