Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.999432938326142	-73.81943800556802	0.0207	0.0359	0.0164	0.0174	0.0085	0.0212	0.0038	0.0057	agua
4.999431481835253	-73.818629573094	0.0188	0.0327	0.0144	0.0141	0.0059	0.0054	0.0015	0.003	agua
4.99862695611583	-73.82024788309515	0.0182	0.0305	0.0137	0.0139	0.0057	0.0051	0.0022	0.0029	agua
4.998625500857645	-73.81943945137223	0.0213	0.0381	0.0168	0.0171	0.0066	0.0027	0.0017	0.0026	agua
4.9986240446031385	-73.81863101988772	0.0179	0.0296	0.0126	0.0122	0.0048	0.005	0.0011	0.0027	agua
4.997820972416662	-73.82105775864538	0.0181	0.0324	0.014	0.0144	0.0059	0.0044	0.0014	0.0028	agua
4.997819518390858	-73.82024932767357	0.0208	0.0375	0.0168	0.0156	0.0066	0.0051	0.0018	0.0027	agua
4.997818063368893	-73.81944089693997	0.0208	0.0382	0.0168	0.0177	0.0061	0.0059	0.0016	0.0033	agua
4.997816607350767	-73.81863246644481	0.0173	0.0296	0.0129	0.0132	0.0047	0.0041	0.0011	0.0035	agua
4.997013534435385	-73.8210592019983	0.0229	0.0414	0.0183	0.0177	0.0072	0.0053	0.0013	0.0031	agua
4.9970120806456375	-73.82025077201564	0.022	0.0392	0.0181	0.0179	0.008	0.0058	0.0029	0.0037	agua
4.997010625859891	-73.81944234227126	0.0169	0.0284	0.0133	0.0134	0.0069	0.0065	0.0023	0.0033	agua
4.997009170078147	-73.81863391276526	0.0166	0.0271	0.0117	0.0116	0.0057	0.0035	0.0023	0.0033	agua
4.996206096433858	-73.82106064511504	0.0219	0.039	0.0171	0.0176	0.0069	0.0055	0.0014	0.003	agua
4.996204642880168	-73.82025221612143	0.0217	0.0367	0.0172	0.0172	0.0079	0.0068	0.0027	0.0054	agua
4.99620318833064	-73.81944378736605	0.0128	0.0176	0.0078	0.0086	0.006	0.0079	0.0025	0.0042	agua
4.941354160347209	-73.85187615853924	0.029	0.0552	0.0277	0.0355	0.0173	0.0114	0.0053	0.0064	agua
4.94054671210762	-73.85187754820574	0.0248	0.0513	0.0235	0.0314	0.0136	0.0105	0.0023	0.0018	agua
